"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"190",476,"07/6","-1:28,42<U+0096>45 -2:164<U+0096>165,173<U+0096>184","6-5","C6","1a","7 Unterteil","5 a","","03_Burials_Church"
"191",477,"07/6","-1:1<U+0096>7 -2:37<U+0096>70 -3:39","6-2","C6","1a","3 Oberteil","2","","03_Burials_Church"
"192",477,"07/6","-1:1<U+0096>7 -2:37<U+0096>70 -3:39","6-2","C6","1a","2 Rand","1 a","","03_Burials_Church"
"193",477,"07/6","-1:1<U+0096>7 -2:37<U+0096>70 -3:39","6-2","C6","1a","3 Oberteil","1 a","","03_Burials_Church"
"194",477,"07/6","-1:1<U+0096>7 -2:37<U+0096>70 -3:39","6-2","C6","1a","7 Unterteil","5 a","","03_Burials_Church"
"195",478,"07/6","-1:12<U+0096>18 -2:71<U+0096>82,101<U+0096>148","6-3","C6","1a","2 Rand","1 a","","03_Burials_Church"
"196",478,"07/6","-1:12<U+0096>18 -2:71<U+0096>82,101<U+0096>148","6-3","C6","1a","3 Oberteil","1 a","","03_Burials_Church"
"197",487,"07/6","-2:1<U+0096>4,13<U+0096>36","6-1","C6","1a","3 Oberteil","2","","03_Burials_Church"
"198",487,"07/6","-2:1<U+0096>4,13<U+0096>36","6-1","C6","1a","3 Oberteil","1 a","","03_Burials_Church"
"199",487,"07/6","-2:1<U+0096>4,13<U+0096>36","6-1","C6","1a","2 Rand","1 a","","03_Burials_Church"
"200",487,"07/6","-2:1<U+0096>4,13<U+0096>36","6-1","C6","1a","3 Oberteil","11 a","","03_Burials_Church"
"201",487,"07/6","-2:1<U+0096>4,13<U+0096>36","6-1","C6","1a","7 Unterteil","5 a","","03_Burials_Church"
"202",523,"07/7","-1:1<U+0096>3 -3:1<U+0096>3,6,33<U+0096>42","7-20","C7-1","2b","6 Bauch","8 b","3 vertikale Ritzlinien (evtl. rezent)","03_Burials_Church"
"203",524,"07/7","-2:1<U+0096>3","7-1","C7-1","1a","3 Oberteil","4","","03_Burials_Church"
"204",524,"07/7","-2:1<U+0096>3","7-1","C7-1","1a","3 Oberteil","16","2","03_Burials_Church"
